,Date,Adilabad_Temp,Adilabad_Upper_Limit,Adilabad_Lower_Limit,Adilabad_HeatWave,Karimnagar_Temp,Karimnagar_Upper_Limit,Karimnagar_Lower_Limit,Karimnagar_HeatWave,Khammam_Temp,Khammam_Upper_Limit,Khammam_Lower_Limit,Khammam_HeatWave,Nizamabad_Temp,Nizamabad_Upper_Limit,Nizamabad_Lower_Limit,Nizamabad_HeatWave,Warangal_Temp,Warangal_Upper_Limit,Warangal_Lower_Limit,Warangal_HeatWave
272,29-06-2023,33.85323,37.18151111,30.52494793,0,34.187813,36.68305557,31.69257004,0,36.43081,38.7456972,34.11592084,0,32.622612,35.85938114,29.38584286,0,28.2939,36.92894263,19.65885644,0
273,30-06-2023,33.468826,36.7971871,30.14046549,0,34.44429,36.93959231,31.94898801,0,35.588264,37.90320774,33.27332119,0,33.011116,36.2479622,29.77426985,0,28.284737,36.91998525,19.64948802,0
274,01-07-2023,33.947186,37.27562639,30.61874464,0,34.655083,37.15044488,32.15972053,0,35.486225,37.80122409,33.17122616,0,33.91115,37.14807593,30.67422785,0,28.641548,37.2770045,20.00609181,0
275,02-07-2023,33.77059,37.09911353,30.44206994,0,33.46736,35.96278429,30.97193861,0,35.511417,37.82647263,33.19636215,0,33.661655,36.89865816,30.42465269,0,29.217958,37.85362473,20.58229217,1
276,03-07-2023,33.77793,37.10653477,30.44932766,1,33.73159,36.22707441,31.23610613,0,35.072845,37.38795757,32.75773334,0,33.111374,36.34845615,29.87429165,0,29.409235,38.04511342,20.77335658,2
277,04-07-2023,33.36274,36.69142574,30.03405339,0,33.090805,35.58635113,30.59525897,0,35.066605,37.38177419,32.75143504,0,32.672337,35.90949917,29.43517398,0,29.493591,38.12968407,20.85749855,2
278,05-07-2023,33.112156,36.44092555,29.78338628,0,33.01396,35.50957045,30.51835314,0,35.269154,37.58438122,32.95392597,0,32.174187,35.41143047,28.93694294,0,29.82369,38.45999972,21.18738111,2
279,06-07-2023,33.196583,36.52543675,29.86772884,0,33.02539,35.52106249,30.52971876,0,36.098705,38.41399156,33.78341902,0,32.185154,35.42247972,28.9478282,0,29.944098,38.58062558,21.30756946,2
280,07-07-2023,33.319023,36.64796225,29.99008401,0,33.208324,35.70406015,30.71258872,0,36.1558,38.47114537,33.84045436,0,32.490303,35.72771163,29.25289445,0,29.948193,38.58494161,21.31144358,2
281,08-07-2023,33.260136,36.58916078,29.93111052,0,33.94049,36.43629092,31.44469052,0,36.495667,38.81107183,34.18026117,0,33.00742,36.24491182,29.76992735,0,30.105732,38.74270414,21.46875979,2
282,09-07-2023,33.480335,36.80944723,30.15122324,0,34.17435,36.67021606,31.67848541,0,35.479496,37.79496175,33.16403026,0,33.068184,36.30576061,29.83060719,0,30.351082,38.98827938,21.71388431,2
283,10-07-2023,33.314907,36.64410678,29.98570736,0,34.15486,36.65079253,31.65893037,0,36.00978,38.32530763,33.69425413,1,32.959904,36.19756573,29.72224171,0,30.28687,38.92429415,21.64944395,2
284,11-07-2023,33.102848,36.43213633,29.77355978,0,33.697952,36.19394975,31.20195479,0,35.679157,37.9947456,33.36356891,1,32.854362,36.09211063,29.61661435,0,30.30236,38.94001541,21.66470566,2
285,12-07-2023,32.451077,35.78045419,29.12169882,0,32.665222,35.16128668,30.16915766,0,34.20088,36.51652868,31.88522761,0,33.478962,36.71679704,30.24112685,1,30.489674,39.12756046,21.85178677,2
286,13-07-2023,32.30223,35.63169878,28.97276289,0,33.173687,35.66981916,30.6775548,0,34.28822,36.60393276,31.97250614,0,33.248726,36.48664876,30.01080302,1,30.639877,39.27799834,22.0017563,2
287,14-07-2023,32.751827,36.08138629,29.42226819,0,32.507904,35.00410454,30.01170357,0,35.17542,37.49119553,32.85964217,0,30.819166,34.05717766,27.58115471,0,30.702595,39.34095216,22.06423736,2
288,15-07-2023,32.95081,36.28046049,29.62115847,0,32.94923,35.44549962,30.45296077,0,35.901707,38.21754734,33.58586606,1,31.188723,34.42682352,27.95062171,0,31.043037,39.6816334,22.40444143,2
289,16-07-2023,33.164062,36.49380632,29.83431868,0,33.420223,35.91656224,30.92388423,0,35.874992,38.19089756,33.55908718,1,31.36456,34.60275033,28.12636801,0,30.912373,39.55120935,22.27353583,2
290,17-07-2023,33.061295,36.39113203,29.73145708,1,34.07845,36.57485847,31.58204003,0,35.819103,38.13507357,33.50313291,1,31.707405,34.94568733,28.46912285,0,31.187271,39.82635087,22.54819137,2
291,18-07-2023,33.143604,36.47353626,29.8136723,1,34.27788,36.7743617,31.78140155,0,36.045414,38.36145003,33.72937791,1,31.477247,34.71562139,28.23887309,0,31.193512,39.8328369,22.55418703,2
